sample_id,catalyst_name,dye_name,bandgap_ev,surface_area_m2g,catalyst_dosage_gl,initial_dye_conc_mgl,ph,light_intensity_mwcm2,reaction_time_min,temperature_c,dye_molecular_weight,degradation_efficiency_percent
PCD-2020-0417,degussa_p25_tio2,phenol,3.176,37.45,0.142,22.86,2.0,5.0,180,23.3,94.11,26.47
PCD-2021-0418,pure_anatase_tio2,24_dichlorophenol,3.16,55.56,4.274,47.51,5.7,30.05,90,35.5,163.0,100.0
PCD-2022-0419,pure_rutile_tio2,ibuprofen,2.976,23.21,0.164,19.09,6.84,51.31,15,20.0,206.28,32.12
PCD-2023-0420,n_doped_tio2,malachite_green,2.696,62.37,0.993,14.99,9.3,31.79,15,23.2,364.91,59.97
PCD-2018-0421,c_doped_tio2,methylene_blue,2.449,64.85,0.183,21.1,8.01,27.1,120,30.7,319.85,94.18
PCD-2019-0422,s_doped_tio2,rhodamine_b,2.698,56.38,0.286,14.72,5.13,55.29,180,20.5,479.02,96.05
PCD-2020-0423,fe_doped_tio2,methyl_orange,2.475,76.52,1.521,14.98,4.26,58.07,180,24.7,327.33,98.19
PCD-2021-0424,cu_doped_tio2,ciprofloxacin,2.391,77.29,0.69,33.97,5.9,100.0,120,27.5,331.34,92.52
PCD-2022-0425,rutile_n_doped_tio2,tetracycline,2.552,41.29,0.214,33.68,4.66,5.0,120,22.4,444.43,46.35
PCD-2023-0426,rutile_fe_doped_tio2,bisphenol_a,2.426,37.43,0.277,7.79,4.87,32.14,240,31.0,228.29,98.13
PCD-2018-0427,n_fe_codoped_tio2,phenol,2.119,114.34,1.05,33.76,7.63,67.18,90,32.3,94.11,94.42
PCD-2019-0428,n_c_codoped_tio2,24_dichlorophenol,2.27,85.72,0.407,25.68,8.67,45.67,90,28.2,163.0,100.0
PCD-2020-0429,fe_cu_codoped_tio2,ibuprofen,2.144,107.01,0.177,28.53,11.24,64.49,120,20.0,206.28,95.95
PCD-2021-0430,degussa_p25_tio2,malachite_green,3.243,39.44,0.81,19.85,9.04,13.08,180,32.8,364.91,86.63
PCD-2022-0431,pure_anatase_tio2,methylene_blue,3.237,53.27,0.26,11.68,5.72,29.62,90,20.0,319.85,83.59
PCD-2023-0432,pure_rutile_tio2,rhodamine_b,3.084,20.6,1.285,11.9,8.22,91.48,240,31.2,479.02,98.81
PCD-2018-0433,n_doped_tio2,methyl_orange,2.703,71.04,2.26,18.93,9.0,97.58,30,28.8,327.33,97.39
PCD-2019-0434,c_doped_tio2,ciprofloxacin,2.534,73.48,0.408,10.78,3.37,23.53,60,29.0,331.34,91.46
PCD-2020-0435,s_doped_tio2,tetracycline,2.66,38.07,0.288,20.34,7.22,45.52,45,27.0,444.43,85.54
PCD-2021-0436,fe_doped_tio2,bisphenol_a,2.405,79.25,0.9,24.86,5.37,84.61,45,34.5,228.29,97.13
PCD-2022-0437,cu_doped_tio2,phenol,2.308,92.64,0.516,11.67,5.72,52.74,60,25.4,94.11,98.09
PCD-2023-0438,rutile_n_doped_tio2,24_dichlorophenol,2.653,19.5,0.958,24.09,6.62,51.42,15,24.9,163.0,62.77
PCD-2018-0439,rutile_fe_doped_tio2,ibuprofen,2.385,25.46,0.405,22.59,7.43,69.57,45,22.8,206.28,95.98
PCD-2019-0440,n_fe_codoped_tio2,malachite_green,2.244,105.71,0.144,28.83,4.72,67.96,180,23.2,364.91,97.82
PCD-2020-0441,n_c_codoped_tio2,methylene_blue,2.319,98.12,0.218,18.71,7.68,80.08,240,28.9,319.85,98.82
PCD-2021-0442,fe_cu_codoped_tio2,rhodamine_b,2.185,126.31,3.548,25.9,5.48,54.45,120,27.8,479.02,98.9
PCD-2022-0443,degussa_p25_tio2,methyl_orange,3.19,68.07,1.613,8.8,6.21,54.47,30,31.1,327.33,97.2
PCD-2023-0444,pure_anatase_tio2,ciprofloxacin,3.138,42.7,1.36,5.0,6.7,66.69,120,31.1,331.34,100.0
PCD-2018-0445,pure_rutile_tio2,tetracycline,3.044,11.85,1.134,17.79,5.14,51.82,60,25.9,444.43,92.57
PCD-2019-0446,n_doped_tio2,bisphenol_a,2.598,74.59,0.214,23.42,7.12,58.69,240,25.1,228.29,99.21
PCD-2020-0447,c_doped_tio2,phenol,2.497,72.21,0.454,22.81,2.73,75.32,180,24.2,94.11,99.34
PCD-2021-0448,s_doped_tio2,24_dichlorophenol,2.651,53.49,0.614,13.61,9.15,46.45,120,20.0,163.0,94.61
PCD-2022-0449,fe_doped_tio2,ibuprofen,2.419,85.83,1.473,10.05,10.65,8.62,30,23.6,206.28,68.75
PCD-2023-0450,cu_doped_tio2,malachite_green,2.377,76.6,1.595,30.98,9.23,5.0,15,20.0,364.91,27.22
PCD-2018-0451,rutile_n_doped_tio2,methylene_blue,2.624,31.8,0.247,23.22,7.34,25.12,60,24.1,319.85,76.59
PCD-2019-0452,rutile_fe_doped_tio2,rhodamine_b,2.397,38.66,0.314,30.01,7.57,54.22,120,31.3,479.02,98.6
PCD-2020-0453,n_fe_codoped_tio2,methyl_orange,2.165,90.31,1.001,31.38,7.06,44.69,45,32.5,327.33,98.2
PCD-2021-0454,n_c_codoped_tio2,ciprofloxacin,2.35,78.01,1.32,24.81,6.52,72.9,30,26.4,331.34,98.22
PCD-2022-0455,fe_cu_codoped_tio2,tetracycline,2.079,114.83,1.467,30.02,6.0,30.45,180,21.2,444.43,99.12
PCD-2023-0456,degussa_p25_tio2,bisphenol_a,3.136,41.01,3.135,5.0,8.23,69.86,30,24.2,228.29,97.52
PCD-2018-0457,pure_anatase_tio2,phenol,3.178,33.28,0.244,16.15,7.58,27.72,60,26.6,94.11,63.88
PCD-2019-0458,pure_rutile_tio2,24_dichlorophenol,2.992,13.17,0.628,8.98,6.36,43.98,60,21.8,163.0,85.9
PCD-2020-0459,n_doped_tio2,ibuprofen,2.607,50.37,0.5,7.83,7.32,27.68,90,27.6,206.28,100.0
PCD-2021-0460,c_doped_tio2,malachite_green,2.49,59.89,0.971,37.61,6.51,26.4,45,20.0,364.91,87.53
PCD-2022-0461,s_doped_tio2,methylene_blue,2.681,53.76,0.258,25.57,6.73,60.09,15,22.3,319.85,62.24
PCD-2023-0462,fe_doped_tio2,rhodamine_b,2.458,56.67,1.269,5.0,9.87,84.6,15,26.4,479.02,98.84
PCD-2018-0463,cu_doped_tio2,methyl_orange,2.288,73.92,0.908,10.3,6.2,80.94,120,26.9,327.33,98.7
PCD-2019-0464,rutile_n_doped_tio2,ciprofloxacin,2.524,25.72,0.765,22.15,7.28,67.29,240,30.5,331.34,98.61
PCD-2020-0465,rutile_fe_doped_tio2,tetracycline,2.393,15.67,1.391,16.72,8.6,22.25,30,30.7,444.43,77.82
PCD-2021-0466,n_fe_codoped_tio2,bisphenol_a,2.268,95.71,0.728,22.22,8.13,39.12,240,20.0,228.29,99.86
PCD-2022-0467,n_c_codoped_tio2,phenol,2.324,92.87,0.241,23.2,10.31,53.5,90,30.0,94.11,100.0
PCD-2023-0468,fe_cu_codoped_tio2,24_dichlorophenol,2.18,128.07,0.28,5.0,7.0,45.61,240,29.8,163.0,100.0
PCD-2018-0469,degussa_p25_tio2,ibuprofen,3.123,48.04,1.19,18.57,8.57,57.43,30,24.5,206.28,82.56
PCD-2019-0470,pure_anatase_tio2,malachite_green,3.253,46.06,0.384,28.25,3.41,33.47,45,30.8,364.91,45.07
PCD-2020-0471,pure_rutile_tio2,methylene_blue,3.06,10.0,2.364,33.93,8.42,60.73,120,26.9,319.85,98.65
PCD-2021-0472,n_doped_tio2,rhodamine_b,2.648,63.41,0.801,13.83,11.52,33.04,60,27.9,479.02,92.61
PCD-2022-0473,c_doped_tio2,methyl_orange,2.429,72.19,0.376,18.83,10.33,27.9,60,20.0,327.33,91.92
PCD-2023-0474,s_doped_tio2,ciprofloxacin,2.727,70.33,0.979,30.04,2.0,60.59,240,28.8,331.34,96.44
PCD-2018-0475,fe_doped_tio2,tetracycline,2.459,92.15,0.233,26.72,10.06,72.19,60,28.8,444.43,93.05
PCD-2019-0476,cu_doped_tio2,bisphenol_a,2.313,85.26,0.65,27.33,7.72,77.11,90,22.0,228.29,92.83
PCD-2020-0477,rutile_n_doped_tio2,phenol,2.579,34.13,1.73,20.97,6.71,41.78,240,26.8,94.11,100.0
PCD-2021-0478,rutile_fe_doped_tio2,24_dichlorophenol,2.437,26.63,0.221,22.56,7.31,5.0,240,28.2,163.0,78.29
PCD-2022-0479,n_fe_codoped_tio2,ibuprofen,2.221,118.8,0.557,20.49,8.54,34.79,120,26.8,206.28,99.77
PCD-2023-0480,n_c_codoped_tio2,malachite_green,2.369,105.33,1.929,30.12,5.0,55.49,60,27.5,364.91,100.0
PCD-2018-0481,fe_cu_codoped_tio2,methylene_blue,2.178,109.5,0.881,17.51,12.0,5.0,90,26.8,319.85,87.75
PCD-2019-0482,degussa_p25_tio2,rhodamine_b,3.23,58.36,0.49,12.61,9.33,50.55,30,27.2,479.02,58.15
PCD-2020-0483,pure_anatase_tio2,methyl_orange,3.258,43.05,2.147,5.0,7.06,5.0,180,23.4,327.33,89.94
PCD-2021-0484,pure_rutile_tio2,ciprofloxacin,3.008,26.81,0.429,8.01,5.86,29.19,180,20.0,331.34,97.06
PCD-2022-0485,n_doped_tio2,tetracycline,2.626,71.33,0.273,35.75,7.06,52.96,45,21.6,444.43,89.05
PCD-2023-0486,c_doped_tio2,bisphenol_a,2.566,50.95,1.116,7.79,8.34,51.79,30,22.4,228.29,93.28
PCD-2018-0487,s_doped_tio2,phenol,2.697,49.48,0.789,5.0,8.57,33.03,60,23.4,94.11,96.68
PCD-2019-0488,fe_doped_tio2,24_dichlorophenol,2.379,87.07,0.368,47.49,9.4,51.48,30,20.0,163.0,74.23
PCD-2020-0489,cu_doped_tio2,ibuprofen,2.31,94.57,0.406,28.74,6.94,73.17,90,36.0,206.28,96.81
PCD-2021-0490,rutile_n_doped_tio2,malachite_green,2.565,15.45,1.215,20.37,7.48,59.99,30,31.9,364.91,89.51
PCD-2022-0491,rutile_fe_doped_tio2,methylene_blue,2.412,24.6,2.257,9.8,7.41,86.55,240,27.2,319.85,100.0
PCD-2023-0492,n_fe_codoped_tio2,rhodamine_b,2.139,116.13,0.353,11.39,8.75,38.33,240,25.9,479.02,100.0
PCD-2018-0493,n_c_codoped_tio2,methyl_orange,2.241,105.54,0.263,18.37,10.24,64.08,90,20.0,327.33,99.95
PCD-2019-0494,fe_cu_codoped_tio2,ciprofloxacin,2.156,116.29,1.603,5.0,7.8,60.93,30,24.7,331.34,98.48
PCD-2020-0495,degussa_p25_tio2,tetracycline,3.204,50.65,0.173,28.6,7.16,78.49,90,23.1,444.43,89.74
PCD-2021-0496,pure_anatase_tio2,bisphenol_a,3.085,64.35,0.294,9.26,8.34,55.04,45,28.0,228.29,81.34
PCD-2022-0497,pure_rutile_tio2,phenol,2.993,15.72,0.492,10.2,4.82,80.3,45,22.5,94.11,90.23
PCD-2023-0498,n_doped_tio2,24_dichlorophenol,2.67,67.94,0.948,36.65,8.29,10.89,90,20.0,163.0,92.96
PCD-2018-0499,c_doped_tio2,ibuprofen,2.458,77.5,0.148,17.57,3.22,38.63,240,20.0,206.28,100.0
PCD-2019-0500,s_doped_tio2,malachite_green,2.74,61.36,0.337,5.0,7.08,86.01,180,24.7,364.91,100.0
PCD-2020-0501,fe_doped_tio2,methylene_blue,2.495,80.04,1.111,33.38,7.74,46.73,240,30.5,319.85,99.33
PCD-2021-0502,cu_doped_tio2,rhodamine_b,2.257,92.95,1.694,30.8,8.25,59.48,30,26.1,479.02,100.0
PCD-2022-0503,rutile_n_doped_tio2,methyl_orange,2.507,26.12,0.607,15.67,8.59,42.57,60,23.8,327.33,97.02
PCD-2023-0504,rutile_fe_doped_tio2,ciprofloxacin,2.366,10.2,0.143,14.98,3.74,41.73,45,26.4,331.34,62.44
PCD-2018-0505,n_fe_codoped_tio2,tetracycline,2.158,104.15,0.132,19.02,4.78,17.28,180,34.7,444.43,100.0
PCD-2019-0506,n_c_codoped_tio2,bisphenol_a,2.213,97.52,0.772,11.07,7.13,8.32,15,23.5,228.29,54.95
PCD-2020-0507,fe_cu_codoped_tio2,phenol,2.184,121.83,2.717,5.0,8.14,56.09,120,20.0,94.11,100.0
PCD-2021-0508,degussa_p25_tio2,24_dichlorophenol,3.282,46.02,0.575,31.85,5.35,83.34,90,20.7,163.0,93.53
PCD-2022-0509,pure_anatase_tio2,ibuprofen,3.217,39.62,2.818,18.4,7.86,71.17,15,25.7,206.28,79.75
PCD-2023-0510,pure_rutile_tio2,malachite_green,3.008,22.1,0.854,38.18,7.06,39.22,120,30.5,364.91,100.0
PCD-2018-0511,n_doped_tio2,methylene_blue,2.749,87.8,0.516,19.94,9.36,15.66,45,27.6,319.85,65.27
PCD-2019-0512,c_doped_tio2,rhodamine_b,2.47,72.65,0.214,13.54,7.62,58.63,180,20.0,479.02,96.46
PCD-2020-0513,s_doped_tio2,methyl_orange,2.772,51.53,0.63,23.55,9.73,76.83,15,22.3,327.33,67.9
PCD-2021-0514,fe_doped_tio2,ciprofloxacin,2.413,74.44,0.264,15.88,7.11,16.41,240,25.4,331.34,100.0
PCD-2022-0515,cu_doped_tio2,tetracycline,2.403,86.99,0.8,11.64,9.85,47.71,180,20.6,444.43,100.0
PCD-2023-0516,rutile_n_doped_tio2,bisphenol_a,2.631,27.57,0.739,10.29,10.92,53.59,180,24.7,228.29,100.0
PCD-2018-0517,rutile_fe_doped_tio2,phenol,2.415,10.04,1.031,29.4,5.2,10.66,15,20.0,94.11,24.14
PCD-2019-0518,n_fe_codoped_tio2,24_dichlorophenol,2.28,111.22,0.92,35.17,6.11,83.74,15,28.8,163.0,100.0
PCD-2020-0519,n_c_codoped_tio2,ibuprofen,2.313,88.9,0.153,35.09,8.21,62.72,120,22.8,206.28,98.94
